Mobile,Colour,Ram,Storage,Flipcart_Price
REDMI 9I SPORT,CORAL GREEN,4,64,8499
REDMI 9 POWER,BLAZING BLUE,4,64,10499
REDMI 9 POWER,MIGHTY BLACK,4,64,10499
REDMI 9 POWER,ELECTRIC GREEN,4,64,10499
REDMI 9I,SEA BLUE,4,64,7999
REDMI 9I SPORT,CARBON BLACK,4,64,8499
REDMI 9 POWER,FIERY RED,4,64,10499
REDMI 9 PRIME,SPACE BLUE,4,64,9999
REDMI 9I SPORT,METALLIC BLUE,4,64,8499
REDMI 9 PRIME,MINT GREEN,4,64,9999
REDMI 9 PRIME,MATTE BLACK,4,64,9999
REDMI 9 PRIME,SUNRISE FLARE,4,64,9999
REDMI NOTE 9,PEBBLE GREY,4,64,11999
REDMI NOTE 9,AQUA GREEN,4,64,11999
REDMI NOTE 10S,COSMIC PURPLE,6,128,17170
REDMI NOTE 10S,DEEP SEA BLUE,6,64,15470
REDMI 8A DUAL,SEA BLUE,2,32,8399
REDMI NOTE 10S,FROST WHITE,6,64,15490
REDMI NOTE 9,ARCTIC WHITE,6,128,16948
REDMI NOTE 9,SHADOW BLACK,4,128,14988
REDMI 9I,NATURE GREEN,4,64,7999
REDMI 9I,MIDNIGHT BLACK,4,64,7999
REDMI 10 PRIME,BIFROST BLUE,4,64,14898
REDMI 10 PRIME,PHANTOM BLACK,4,64,14375
REDMI 10 PRIME,ASTRAL WHITE,4,64,14625
REDMI NOTE 10T 5G,MINT GREEN,4,64,16480
REDMI 9 ACTIV,CARBON BLACK,4,64,10873
